ID,X,Y,Z,Cu,Mo,Grade Shell,Date Drilled
1.0,36226.0,27295.1,803.75,0.14962999999999999,0.00923,1.0,2003-08-01
1.0,36226.0,27295.1,813.75,0.13375,0.001,1.0,2003-08-01
1.0,36226.0,27295.1,823.75,0.0679,0.00153,1.0,2003-08-01
1.0,36226.0,27295.1,833.75,0.01683,0.00156,1.0,2003-08-01
1.0,36226.0,27295.1,843.75,0.13758,0.01003,1.0,2003-08-01
1.0,36226.0,27295.1,853.75,0.11832000000000001,0.00061,1.0,2003-08-01
1.0,36226.0,27295.1,863.75,0.02558,0.00213,1.0,2003-08-01
1.0,36226.0,27295.1,873.75,0.05,0.001,1.0,2003-08-01
2.0,35451.1,27281.3,829.6375,0.06329,0.0013,1.0,2003-03-01
2.0,35451.1,27281.3,839.6375,0.02264,0.00148,1.0,2003-03-01
2.0,35451.1,27281.3,849.6375,0.02721,0.00223,1.0,2003-03-01
2.0,35451.1,27281.3,859.6375,0.06024,0.00117,1.0,2003-03-01
2.0,35451.1,27281.3,869.6375,0.09843,0.00335,1.0,2003-03-01
2.0,35451.1,27281.3,879.6375,0.08029,0.00061,1.0,2003-03-01
2.0,35451.1,27281.3,889.6375,0.09835,0.00013,1.0,2003-03-01
2.0,35451.1,27281.3,899.6375,0.10347999999999999,0.00093,1.0,2003-03-01
2.0,35451.1,27281.3,909.6375,0.07252,0.00154,1.0,2003-03-01
2.0,35451.1,27281.3,919.6375,0.19487000000000002,0.00535,1.0,2003-03-01
2.0,35451.1,27281.3,929.6375,0.12405,0.00779,1.0,2003-03-01
2.0,35451.1,27281.3,939.6375,0.05344,0.00798,1.0,2003-03-01
2.0,35451.1,27281.3,949.6375,0.04796,0.00273,1.0,2003-03-01
2.0,35451.1,27281.3,959.6375,0.04699,0.00235,1.0,2003-03-01
7.0,34719.0,27652.3,844.625,0.10712999999999999,0.001,1.0,2006-03-01
7.0,34719.0,27652.3,854.625,0.0101,0.001,1.0,2006-03-01
7.0,34719.0,27652.3,864.625,0.02135,0.00152,1.0,2006-03-01
7.0,34719.0,27652.3,874.625,0.00775,0.001,1.0,2006-03-01
7.0,34719.0,27652.3,884.625,0.03845,0.00473,1.0,2006-03-01
7.0,34719.0,27652.3,894.625,0.0278,0.01754,1.0,2006-03-01
7.0,34719.0,27652.3,904.625,0.1996,0.00178,1.0,2006-03-01
7.0,34719.0,27652.3,914.625,0.10195,0.00039,1.0,2006-03-01
