BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AT
WP001,445198.219,494110.594,3057.75753665,198.050003
WP002,445196.625,494109.656,3054.26540832,222.100006
WP003,445260.563,493860.719,3009.03832757,208.199997
WP004,445203.344,493720.656,3033.77766377,200.0
WP005,445291.563,493566.219,2957.43472986,200.0
WP006,445294.031,493886.813,2970.84867701,562.0
WP007,445296.594,493890.25,2974.07976692,182.149994
WP008,445460.813,493321.156,2979.14362346,192.25
WP009,445452.313,493402.188,2980.30098697,178.25
WP010,445427.219,493523.688,2978.65771538,610.299988
WP011,445149.156,493884.594,3099.24894042,200.0
WP012,445293.844,493889.875,2973.70386068,602.299988
WP013,445536.156,493143.531,2976.94469337,200.0
WP014,445633.219,492890.344,2935.561738,202.0
WP015,445203.125,493720.188,3033.79004666,574.849976
WP016,445567.375,493500.906,2885.0722257,200.100006
WP017,445455.094,493658.188,2874.97363507,200.0
WP018,445203.75,493719.781,3033.17045776,376.0
WP019,445708.625,493127.188,2880.63351234,200.100006
WP020,445294.656,493888.094,2971.45294583,370.200012
WP021,445601.375,493296.719,2915.1525724,200.050003
WP022,445501.531,493295.094,2962.12769982,191.699997
WP023,445403.938,493786.094,2905.75407125,233.800003
WP025,445582.563,493406.0,2870.71244315,287.700012
WP026,445273.406,493806.938,3006.52713681,506.700012
WP027,445486.531,493388.031,2952.0674764,199.199997
WP028,445588.156,493609.781,2881.64722204,463.049988
WP029,445471.156,493569.75,2946.42797802,388.299988
WP030,445215.0,493776.375,3048.84330904,590.700012
WP031,445655.75,493150.844,2911.52075889,375.25
WP032,445489.125,493495.875,2955.54196171,200.149994
WP033,444889.469,493612.344,2838.68563954,326.25
WP034,445232.75,493996.344,3018.82907595,410.0
WP035,445328.156,493498.875,2987.70498243,250.100006
WP036,444880.719,493482.719,2759.63967623,416.950012
WP037,444874.938,493699.031,2868.26224764,200.0
WP038,445299.594,493706.313,2967.89337023,401.399994
WP039,444874.938,493699.031,2868.26224764,119.050003
WP040,445224.25,494092.344,3056.27676382,500.0
WP041,444788.563,493811.25,2840.66139101,400.0
WP043,445104.438,493997.938,3137.65588116,347.899994
WP044,445292.406,493565.625,2957.04657967,440.14999400000005
WP045,445066.281,493922.031,3174.38372633,172.949997
WP046,444772.063,493891.594,2880.4013777,314.350006
WP047,445073.906,494299.875,3245.00412268,194.25
WP048,445042.0,494199.438,3215.91248913,450.200012
WP049,445208.594,494189.156,3135.42376141,394.200012
WP050,445108.156,494105.75,3128.09936605,420.39999400000005
WP052,444812.188,494086.813,2980.95002036,175.100006
WP053,445419.75,493605.844,2925.80312212,355.549988
WP054,445072.906,494294.906,3243.94145163,326.75
WP055,445209.813,494191.906,3135.53424205,194.25
WP056,445099.719,494191.375,3166.96857025,336.649994
WP057,445022.375,494102.406,3201.16554004,160.720001
WP058,445500.0,493600.0,2921.35536016,105.449997
